id,target
50000,0.3642995425851055
50001,0.6199303592246379
50002,0.16053576641001224
50003,0.36441446473702793
50004,0.16948586789061115
50005,0.011467808172955283
50006,0.2890223592271129
50007,0.21621390816457772
50008,0.4393582058467525
50009,0.13399230498819265
50010,0.10068849003891497
50011,0.441561103424583
50012,0.14108419226859742
50013,0.1645761132714444
50014,0.0776766108143542
50015,0.06365245169431717
50016,0.050392068549948925
50017,0.06980133644381335
50018,0.19382824114215838
50019,0.27490309180551004
50020,0.027950146708506884
50021,0.12586233706563962
50022,0.23765177096689957
50023,0.2691331121663588
50024,0.1321907235303839
50025,0.3708002253759837
50026,0.540023010913871
50027,0.5134247778501361
50028,0.12807872869580017
50029,0.202825344647472
50030,0.05898948068051231
50031,0.02535479669663334
50032,0.0416339954185834
50033,0.051812133647647515
50034,0.1541708763094214
50035,0.09538749860654597
50036,0.28040839883953805
50037,0.07601006301882883
50038,0.1714390693530603
50039,0.05905753350228245
50040,0.6088974502149574
50041,0.05153275874579312
50042,0.2547086919503608
50043,0.07445335085593816
50044,0.1361017494758098
50045,0.21596640976584433
50046,0.14224631129081558
50047,0.050890226926014005
50048,0.22165621478279532
50049,0.10384763420466689
50050,0.06426934528105219
50051,0.20127008877202363
50052,0.14532968998872012
50053,0.10179271128737251
50054,0.2611733401336174
50055,0.12935761587381173
50056,0.08057954358275865
50057,0.02554747368425166
50058,0.36760249431688335
50059,0.033793782895291315
50060,0.27146313611826817
50061,0.225400215968492
50062,0.32910496605200174
50063,0.16053240426730386
50064,0.06698340996424294
50065,0.09348592458010381
50066,0.0812920958198259
50067,0.03800638111684466
50068,0.43400269085127746
50069,0.2851750610679315
50070,0.3118823025932317
50071,0.13059538345022373
50072,0.2651507948068143
50073,0.11815505374510901
50074,0.5031114860990576
50075,0.220959851092909
50076,0.37843600947591466
50077,0.03996486254596031
50078,0.08213251156323906
50079,0.05236926400053971
50080,0.18803871324258467
50081,0.11267234943903724
50082,0.40484938839218726
50083,0.06342610116019042
50084,0.264429113947256
50085,0.034253494519680204
50086,0.15177021500901833
50087,0.13304762071385937
50088,0.0372741005290908
50089,0.04767221628924688
50090,0.22113754029474988
50091,0.1367950321894833
50092,0.11857654891231179
50093,0.23493406938383696
50094,0.08296215913090434
50095,0.0778345466181666
50096,0.29176046438894043
50097,0.14048889904166423
50098,0.0866055242749194
50099,0.04166320091173962
50100,0.12184156489253556
