id,target
50000,0.2950258
50001,0.22075956
50002,0.1334272
50003,0.41369876
50004,0.09816602
50005,0.010601958
50006,0.42871833
50007,0.1783586
50008,0.34801802
50009,0.15022615
50010,0.070053
50011,0.46665078
50012,0.12264774
50013,0.10838588
50014,0.02853055
50015,0.09374314
50016,0.07476163
50017,0.025531463
50018,0.26122028
50019,0.2718246
50020,0.28110215
50021,0.054477334
50022,0.1277009
50023,0.2615268
50024,0.12702712
50025,0.5263336
50026,0.5166135
50027,0.48233777
50028,0.09690694
50029,0.24987465
50030,0.22691387
50031,0.029997999
50032,0.030569507
50033,0.07522628
50034,0.05043269
50035,0.05532209
50036,0.22571903
50037,0.049368702
50038,0.25269297
50039,0.019257182
50040,0.66560775
50041,0.045297716
50042,0.21746382
50043,0.10927221
50044,0.11039728
50045,0.19397312
50046,0.11578262
50047,0.0723492
50048,0.23822156
50049,0.14862102
50050,0.077617064
50051,0.13568309
50052,0.16920385
50053,0.1472666
50054,0.35613304
50055,0.074337214
50056,0.19100717
50057,0.03494967
50058,0.24488448
50059,0.08626539
50060,0.0674838
50061,0.059630133
50062,0.117089614
50063,0.23142834
50064,0.12078652
50065,0.109201804
50066,0.07846118
50067,0.089903414
50068,0.48304912
50069,0.5398866
50070,0.29263416
50071,0.15599737
50072,0.20874715
50073,0.10694814
50074,0.42907283
50075,0.31271893
50076,0.2833828
50077,0.021656131
50078,0.05575418
50079,0.036855556
50080,0.27086753
50081,0.09416627
50082,0.20380197
50083,0.05993184
50084,0.13911878
50085,0.034810454
50086,0.060862124
50087,0.08793835
50088,0.08683932
50089,0.10302633
50090,0.22043954
50091,0.098173596
50092,0.15696605
50093,0.1403753
50094,0.22089024
50095,0.03869226
50096,0.4599528
50097,0.12961307
50098,0.052188754
50099,0.04636725
50100,0.119738154
50101,0.10592165
50102,0.034706835
50103,0.35342905
50104,0.17666341
50105,0.3302727
50106,0.37462753
50107,0.052993927
50108,0.27529374
50109,0.07365738
50110,0.2932044
50111,0.111241974
50112,0.12326684
50113,0.013504945
50114,0.44456255
50115,0.23512612
50116,0.081317924
50117,0.027098522
50118,0.69225883
50119,0.08874553
50120,0.20954621
50121,0.33375707
50122,0.3231646
50123,0.23390633
50124,0.124312066
